package,candidate_id,candidate_type,source_crop_id,field_name,label,value,review_status,source_video,timestamp,frame_number,crop_path,confidence
current_team_season_stats,screen-d705172c5563-stats_table-season_stats_row-001,season_stats_row,screen-d705172c5563-stats_table,name,name,We eee Sees aeQ,ocr_draft_needs_confirmation,Rutgers Season stats.mp4,00:00:01,60,assets/review_crops/current_team_season_stats/screen-d705172c5563-stats_table.jpg,0.45
current_team_season_stats,screen-d705172c5563-stats_table-season_stats_row-001,season_stats_row,screen-d705172c5563-stats_table,position,position,SS,ocr_draft_needs_confirmation,Rutgers Season stats.mp4,00:00:01,60,assets/review_crops/current_team_season_stats/screen-d705172c5563-stats_table.jpg,0.45
current_team_season_stats,screen-d705172c5563-stats_table-season_stats_row-001,season_stats_row,screen-d705172c5563-stats_table,stat_1,stat_1,8,ocr_draft_needs_confirmation,Rutgers Season stats.mp4,00:00:01,60,assets/review_crops/current_team_season_stats/screen-d705172c5563-stats_table.jpg,0.42
current_team_season_stats,screen-e99f1b169117-stats_table-season_stats_row-001,season_stats_row,screen-e99f1b169117-stats_table,name,name,T.simonson,ocr_draft_needs_confirmation,Rutgers Season stats.mp4,00:00:33,2034,assets/review_crops/current_team_season_stats/screen-e99f1b169117-stats_table.jpg,0.45
current_team_season_stats,screen-e99f1b169117-stats_table-season_stats_row-001,season_stats_row,screen-e99f1b169117-stats_table,position,position,HB,ocr_draft_needs_confirmation,Rutgers Season stats.mp4,00:00:33,2034,assets/review_crops/current_team_season_stats/screen-e99f1b169117-stats_table.jpg,0.45
current_team_season_stats,screen-e99f1b169117-stats_table-season_stats_row-001,season_stats_row,screen-e99f1b169117-stats_table,avg,avg,103,ocr_draft_needs_confirmation,Rutgers Season stats.mp4,00:00:33,2034,assets/review_crops/current_team_season_stats/screen-e99f1b169117-stats_table.jpg,0.42
current_team_season_stats,screen-e99f1b169117-stats_table-season_stats_row-001,season_stats_row,screen-e99f1b169117-stats_table,1d,1d,469,ocr_draft_needs_confirmation,Rutgers Season stats.mp4,00:00:33,2034,assets/review_crops/current_team_season_stats/screen-e99f1b169117-stats_table.jpg,0.42
current_team_season_stats,screen-e99f1b169117-stats_table-season_stats_row-001,season_stats_row,screen-e99f1b169117-stats_table,avg,avg,46,ocr_draft_needs_confirmation,Rutgers Season stats.mp4,00:00:33,2034,assets/review_crops/current_team_season_stats/screen-e99f1b169117-stats_table.jpg,0.42
current_team_season_stats,screen-e99f1b169117-stats_table-season_stats_row-001,season_stats_row,screen-e99f1b169117-stats_table,g,g,4,ocr_draft_needs_confirmation,Rutgers Season stats.mp4,00:00:33,2034,assets/review_crops/current_team_season_stats/screen-e99f1b169117-stats_table.jpg,0.42
current_team_season_stats,screen-e99f1b169117-stats_table-season_stats_row-001,season_stats_row,screen-e99f1b169117-stats_table,20,20,93.8,ocr_draft_needs_confirmation,Rutgers Season stats.mp4,00:00:33,2034,assets/review_crops/current_team_season_stats/screen-e99f1b169117-stats_table.jpg,0.42
current_team_season_stats,screen-e99f1b169117-stats_table-season_stats_row-001,season_stats_row,screen-e99f1b169117-stats_table,bik,bik,2,ocr_draft_needs_confirmation,Rutgers Season stats.mp4,00:00:33,2034,assets/review_crops/current_team_season_stats/screen-e99f1b169117-stats_table.jpg,0.42
current_team_season_stats,screen-e99f1b169117-stats_table-season_stats_row-001,season_stats_row,screen-e99f1b169117-stats_table,yac,yac,8,ocr_draft_needs_confirmation,Rutgers Season stats.mp4,00:00:33,2034,assets/review_crops/current_team_season_stats/screen-e99f1b169117-stats_table.jpg,0.42
current_team_season_stats,screen-e99f1b169117-stats_table-season_stats_row-001,season_stats_row,screen-e99f1b169117-stats_table,long,long,137,ocr_draft_needs_confirmation,Rutgers Season stats.mp4,00:00:33,2034,assets/review_crops/current_team_season_stats/screen-e99f1b169117-stats_table.jpg,0.42
current_team_season_stats,screen-e99f1b169117-stats_table-season_stats_row-001,season_stats_row,screen-e99f1b169117-stats_table,cl,cl,38,ocr_draft_needs_confirmation,Rutgers Season stats.mp4,00:00:33,2034,assets/review_crops/current_team_season_stats/screen-e99f1b169117-stats_table.jpg,0.42
